bikeid,Distance
31102,430.5430044444445
29869,423.0642222222224
30205,414.01718222222223
30982,408.33904888888907
31099,405.9999111111113
33251,405.82386666666656
31801,403.49179555555554
28382,397.7568888888887
33239,394.6034399999999
33218,392.10525333333317
31351,392.07790222222224
29990,391.41021333333345
31467,390.2263288888889
32300,389.6484888888888
31662,387.91667555555534
33667,386.9974666666666
31552,385.8894222222223
32158,384.6757511111113
32469,383.4786488888889
31996,382.4720888888892
30344,382.39959999999996
32319,380.6644355555556
32048,379.41098666666676
31438,378.66581333333335
33162,378.5746844444444
32511,377.1783288888891
32026,377.0047822222221
30089,376.99235555555555
30204,376.54042666666675
31236,375.6457066666671
32709,373.85255111111115
30374,373.78920000000005
30249,372.35471111111116
32520,371.84564444444476
30827,369.8652355555557
25879,369.7418222222222
32501,368.9357333333334
29855,367.89067555555545
33175,367.59944000000013
30108,367.17072
32252,366.92425777777777
32400,365.9694755555555
30819,363.9050044444445
33324,363.55456000000004
32597,363.2298222222223
32065,363.11548444444446
30945,363.11384
30033,361.70298666666696
31498,360.6922844444444
30016,360.6363644444445
29939,360.19935999999984
32708,359.2549333333333
32529,358.4849066666669
30163,357.6311822222223
29965,357.4700622222222
30359,357.12375999999995
32222,356.92950222222225
30728,356.7178222222221
28250,356.5272799999999
32128,356.19590222222234
33246,355.7899644444443
32347,355.6454133333334
32877,355.3239644444445
32772,355.2411200000002
31488,355.05264888888905
32563,354.8832444444444
33008,354.5390133333334
32685,353.40197333333333
30954,353.0300266666665
33281,352.81170666666685
32510,352.45840000000004
30512,352.3896266666667
30853,352.15309333333335
32381,351.66431111111086
32148,351.57939555555566
30682,351.1506755555556
32195,350.6664622222223
19491,349.7622399999999
32851,349.4917155555555
31578,349.3343111111113
32261,349.30117333333334
33188,349.1499822222219
32602,349.11063111111105
31076,349.05099555555535
32471,348.9138755555558
31441,348.4458044444446
25982,348.3132533333334
33678,347.8948888888889
32886,347.4537422222223
30202,347.2445600000001
31207,346.8038400000003
32171,346.45339555555574
32263,346.09095111111105
30688,345.5731733333332
30591,345.397128888889
30593,345.17552000000006
32033,344.65360000000027
32954,344.28701333333333
31628,343.9597777777779
26690,343.9597777777776
29335,343.7485244444447
32286,343.7282399999999
30507,343.493777777778
31012,343.3011644444444
32551,343.04434666666674
32097,342.6073422222221
30794,342.5949155555554
32062,342.4188711111113
33027,342.26975111111113
29935,342.1268444444443
28465,342.117342222222
31379,341.88245333333333
30835,341.822391111111
32439,341.75075555555554
29112,341.2159822222222
27110,341.16792000000015
32130,341.12028444444434
31583,340.60664888888874
32554,339.71028444444437
32957,339.4447555555556
30412,339.0263911111112
30934,338.436551111111
32332,338.2083022222224
32265,337.9022044444448
29815,337.6035377777776
31346,336.99962666666653
31361,336.95528
32098,336.54769777777756
32770,336.27802666666645
33357,336.17075555555584
32043,336.1558311111111
33013,335.4313688888889
33407,335.31703111111125
29920,335.3149600000002
30020,335.0983466666666
31376,334.8473155555555
27580,334.4716533333334
32241,334.03294222222223
32539,333.9956622222223
29131,333.9608799999999
32401,333.87139555555547
30887,333.1382222222224
32706,333.1096533333333
30228,332.51274666666654
32071,331.92704888888915
32151,331.90840888888863
28456,331.7882844444444
31208,331.6080977777778
33225,331.36120888888905
30837,331.16238222222233
28981,331.0857511111111
30846,330.98219555555517
31796,330.90970666666675
30652,330.86621333333295
32099,330.69431111111106
31404,330.5866133333332
26430,330.5700444444446
26870,330.23038222222226
31204,330.02741333333336
32664,330.00256000000013
32614,329.9859911111112
25094,329.98227555555576
30040,329.9673511111113
31116,329.8534400000001
31456,329.6981066666667
32493,329.666248888889
32243,329.515848888889
31249,329.507991111111
31987,329.39779555555566
30860,329.2486755555555
30306,329.0726311111109
30599,329.03163555555585
30685,328.94836444444434
30868,328.8986577777776
32353,328.6791200000001
32296,328.6215555555558
26338,328.3688799999999
29986,328.35809777777786
32423,328.3212444444445
30350,327.99772444444477
14763,327.995653333333
30244,327.2873333333334
30003,327.2529777777778
31885,327.23141333333336
30738,326.84911111111103
32799,326.80062222222193
31888,326.6912800000002
33149,326.59972444444435
29417,326.3449777777778
29897,326.11301333333336
31046,325.53559999999993
30509,325.28456888888905
33539,325.23943111111134
32084,324.7170844444444
32540,324.71294222222207
31199,324.69637333333316
26796,324.5368977777777
30722,324.47683555555574
31023,324.16409777777784
32303,324.07796444444466
32943,323.7871555555555
32421,323.66081777777777
30717,323.3319377777778
29916,323.3066577777778
25768,323.05605333333335
29967,322.8742222222222
27724,322.1406222222222
32351,322.1141244444443
32889,321.9691466666667
33147,321.7521066666665
27121,321.71689777777755
31550,321.6435555555557
30704,321.56570666666676
31169,321.2716088888888
29982,320.8445333333334
33133,320.68091555555577
25049,320.62249777777794
30225,320.5624355555555
30583,320.54379555555533
33452,320.5355111111111
30828,320.37396444444454
31783,320.0218755555556
27636,319.3657600000002
31999,319.2808444444444
32114,318.9697511111112
30545,318.9034755555556
31470,318.8728355555556
33531,318.81234666666666
31264,318.6508000000001
33019,318.5493155555557
32406,318.2407200000002
31480,318.1106666666668
32299,318.0729599999999
27552,317.9325511111113
33386,317.8782755555555
30420,317.8389244444445
32135,317.8057866666667
32164,317.7896444444444
33098,317.07511111111126
33094,317.0374044444445
32036,316.8783555555556
26573,316.70895111111116
32356,316.64846222222235
33434,316.6256800000001
32658,316.56561777777773
32079,316.30423111111105
33618,316.21310222222235
29931,315.9749244444444
30865,315.96706666666694
32035,315.77402666666677
33076,315.63319111111105
33071,315.1609777777779
31545,314.95222222222225
32702,314.82131555555543
30494,314.6079911111113
32934,314.52307555555564
30259,314.46551111111114
31202,314.2795377777778
31492,314.2621155555554
32166,314.0165066666667
18134,313.7269777777779
32941,313.4813066666666
32328,313.4212444444445
33645,313.32640000000026
30895,313.1975644444444
31323,313.01323555555564
26467,313.0090933333333
30788,312.9618844444444
33261,312.9552444444444
30754,312.7713422222223
32219,312.77091555555563
32904,312.5476622222223
29823,312.53895111111103
30118,312.265991111111
30238,312.06716444444436
30372,311.7854933333335
28155,311.6591555555555
32827,311.62394666666677
32427,311.4143377777777
32928,311.304568888889
30106,311.17037333333343
30985,311.0867377777778
28395,310.97154666666677
32507,310.82656888888886
28123,310.6567377777778
31197,310.61574222222214
32059,310.32743111111097
31093,310.3108622222221
33396,310.26944
32749,310.18866666666685
33129,310.0411911111111
31079,309.878
29739,309.7843733333336
25304,309.5549066666667
32535,309.18375111111135
31823,309.10090666666673
32881,309.08062222222225
32823,309.04127111111126
30261,308.9273599999999
32766,308.9269333333333
25365,308.8428711111112
30178,308.75795555555555
29751,308.75088888888877
30322,308.4551466666666
29327,308.3495199999999
31152,308.27453333333335
29971,308.20204444444454
27222,308.00114666666656
29871,307.99743111111115
27978,307.89594666666665
27612,307.84995555555554
31145,307.84416888888904
31255,307.7961066666665
31442,307.5583555555554
29977,307.294897777778
30571,307.214551111111
29895,307.21040888888894
32633,307.00701333333336
33171,306.9738755555554
33022,306.9598044444444
30586,306.9386666666666
29737,306.8065422222224
32297,306.76719111111123
29718,306.7170577777777
32380,306.70255999999995
32717,306.6922044444444
14815,306.6611377777777
31590,306.23241777777764
32080,306.2220622222223
32411,306.14750222222233
31265,306.0079466666667
30019,305.9403911111111
30274,305.9039644444448
30888,305.8596177777778
31270,305.8248355555555
32626,305.81447999999995
30742,305.77263111111114
32514,305.75441777777775
30551,305.7312088888891
32440,305.68978666666675
28038,305.5932977777777
33139,305.38161777777776
31991,305.3459822222222
30327,305.33605333333304
32541,305.30084444444446
29956,305.2134311111109
32863,305.20928888888886
28023,304.9011200000002
32726,304.8924088888891
31435,304.8675555555557
31396,304.7681422222222
32966,304.7536444444443
33364,304.64637333333314
25626,304.3605599999999
32242,304.1675199999999
32623,304.153448888889
31274,303.93805333333324
30233,303.9003466666668
29777,303.8962044444445
32879,303.8485688888888
31373,303.82828444444453
32121,303.57725333333315
32412,303.5648266666666
32367,303.56275555555544
27103,303.46541333333334
32422,303.3374311111112
30413,303.3042933333334
31511,303.2500177777778
32670,303.0864000000001
30214,302.9397777777778
32618,302.8772177777777
32894,302.83415111111105
31941,302.80680000000007
32475,302.8047288888887
33373,302.79644444444455
32653,302.72602666666654
33455,302.72395555555545
28267,302.6991022222222
27990,302.69538666666665
33144,302.4613511111111
31170,302.40335999999985
29734,302.37600888888886
33285,302.3470133333334
26740,302.3453688888889
32627,302.2703822222222
32109,302.2206755555555
32688,302.08069333333333
30124,302.0388444444443
33102,301.9456444444445
26487,301.89593777777804
30177,301.7567466666667
27747,301.4112977777778
14726,301.3756622222224
28865,301.33631111111106
30656,301.3139555555558
30112,301.20832888888884
33393,301.1689777777779
32744,301.0691377777777
32722,300.93451555555555
29981,300.92416000000014
32825,300.84338666666673
26671,300.80403555555563
27590,300.7195466666666
30632,300.6263466666665
31479,300.60606222222236
28641,300.4792977777778
29854,300.32975111111114
32227,300.2966133333332
30241,300.24733333333336
28217,300.24690666666675
32703,300.1806311111111
31892,300.1562044444444
32016,300.13549333333333
29905,300.1267822222221
26441,299.9843022222222
32647,299.9113866666668
33421,299.90517333333344
32949,299.69184888888896
27842,299.5717244444443
31968,299.57050666666674
32963,299.54065777777794
26623,299.49344888888874
32350,299.35261333333335
25958,299.34183111111116
32592,299.24534222222223
27402,299.24284444444424
31431,299.18856888888894
29852,299.0812977777779
32678,299.08087111111115
30201,299.0601599999999
32803,298.95124444444434
32679,298.84519111111115
32830,298.8385511111112
32318,298.8364800000003
26381,298.7167822222224
33150,298.5196000000002
33095,298.48853333333346
31174,298.45332444444443
29964,298.42268444444454
32005,298.2834933333333
30692,298.1385155555556
32599,298.102088888889
32100,298.10123555555566
33353,297.9148355555555
28624,297.6559466666665
17917,297.4915377777778
32337,297.28521777777786
25516,297.2400800000001
30212,297.23551111111124
30949,297.22515555555566
29867,297.0926044444444
33263,297.03875555555555
30660,296.90827555555546
32443,296.77986666666686
26581,296.77408
32847,296.7653688888889
32220,296.601751111111
25996,296.58353777777774
31988,296.3863555555556
30079,296.37435555555544
30889,296.2128088888889
14613,296.14403555555543
31807,296.11753777777767
30330,296.0119111111113
33293,295.9348533333334
28323,295.8851466666666
32322,295.85200888888886
31212,295.78366222222223
33410,295.75466666666665
32644,295.7194577777778
30313,295.6428266666665
31609,295.3189422222221
31245,295.3114488888889
31327,295.2720977777776
19906,295.0447022222221
32464,295.03392000000014
30490,294.938648888889
32759,294.88687111111096
33412,294.8350933333333
31010,294.70089777777787
32958,294.5687733333334
31317,294.4378666666668
32590,294.39065777777773
25253,294.327671111111
29992,294.2634666666668
28824,294.2282577777779
33240,294.14127111111105
32018,294.1110577777781
31215,294.04185777777786
26499,293.8956622222223
32392,293.8616711111111
30130,293.8057511111112
29847,293.76432888888877
32120,293.72540444444434
32470,293.6939111111112
30665,293.4917955555556
32180,293.4764444444444
30434,293.35424888888883
31656,293.21134222222236
33204,293.1848444444445
25470,293.1305688888891
32185,293.11235555555544
30694,293.09785777777773
14922,293.0725777777776
31517,293.02744
19964,292.9918044444443
26728,292.9632355555558
30554,292.95452444444453
33021,292.9234577777778
25986,292.8509688888888
30650,292.77847999999983
32321,292.74576888888896
24962,292.68113777777785
28675,292.6525688888888
30183,292.5879377777777
33404,292.4843822222221
28231,292.46574222222245
28724,292.2130666666668
31644,292.1592177777778
33154,292.15714666666656
29849,292.11572444444454
30698,292.07016000000004
32175,291.9272533333335
26364,291.86304888888907
32807,291.77192000000014
32785,291.6642222222223
28369,291.4761777777778
30245,291.2500000000002
31191,291.24421333333333
30523,291.22928888888896
33117,291.18993777777763
24902,291.1795822222222
29806,291.07809777777794
29786,291.0636
30672,291.05324444444454
32532,291.047031111111
26817,290.73472000000004
31331,290.70322666666675
31276,290.6783733333334
32368,290.54003555555556
20096,290.44683555555565
32348,290.425697777778
33323,290.38470222222236
32562,290.3552800000001
31781,290.3018577777776
31512,290.2475822222222
33152,290.1895911111111
30813,290.14652444444437
29950,290.1212444444447
33637,290.1113155555556
32260,290.09931555555556
32056,289.92034666666655
29738,289.85242666666664
28065,289.7882222222223
30570,289.77579555555565
18987,289.58732444444456
28804,289.4543466666667
29886,289.3905688888889
32334,289.3611466666664
18443,289.28865777777764
33087,289.12711111111093
32037,289.0608355555554
32619,288.9448533333333
31394,288.8624355555555
28800,288.775448888889
30147,288.6615377777778
30227,288.60768888888873
27400,288.44778666666684
31458,288.3877244444445
31050,288.37408
28421,288.35665777777797
32659,288.27795555555554
25209,288.2249600000003
31643,288.19096888888885
25605,288.12883555555567
32087,288.0484888888888
31899,288.0024977777779
32791,287.95693333333327
33217,287.9221511111112
24953,287.878231111111
33015,287.8538044444445
32854,287.6963999999999
31454,287.4619377777777
32993,287.4520088888887
33192,287.4437244444445
32487,287.42922666666675
30128,287.42051555555565
30834,287.4143022222222
32111,287.1579111111111
30336,287.1264177777778
28580,287.01872000000003
28663,286.9321600000002
25436,286.8468177777779
31649,286.8431022222222
33286,286.72047999999995
32123,286.6997688888889
27910,286.67905777777776
30179,286.6417777777778
33315,286.56928888888893
31342,286.51958222222225
28102,286.48851555555564
30768,286.42888
24971,286.2793333333333
16334,286.2652622222223
31128,286.2627644444444
32852,286.2565511111111
32978,286.20520000000005
32811,286.09293333333335
25096,286.01008888888896
32124,285.9293155555556
32113,285.73463111111107
30653,285.65178666666685
32231,285.6372888888889
33151,285.5672977777777
32503,285.5606577777777
26719,285.5482311111112
31606,285.4508888888889
27597,285.44924444444433
32327,285.3866844444445
27363,285.32248000000016
30624,285.26863111111123
25608,285.2520622222222
30284,285.24420444444456
29892,285.2396355555557
33530,285.13443555555557
31476,285.0532355555557
32986,285.01595555555537
27392,284.94968
27558,284.889617777778
30699,284.8771911111112
32979,284.861048888889
33196,284.7632799999998
19500,284.7061422222223
30872,284.64565333333337
31297,284.6410844444446
30683,284.63529777777774
33186,284.6286577777776
27174,284.5520266666666
30207,284.4940355555556
32689,284.44640000000015
28692,284.41161777777785
26351,284.3329155555556
32051,284.2993511111111
32822,284.22686222222234
31651,284.20657777777785
32382,284.1398755555557
29795,284.0715288888889
15504,284.04874666666666
29915,284.02224888888907
32690,283.98247111111107
30564,283.9207644444445
26831,283.91619555555576
28030,283.9016977777777
29763,283.71407999999997
31074,283.4319822222222
31226,283.3984177777779
30862,283.32385777777773
29778,283.2580088888887
32816,283.13374222222234
30150,283.12503111111124
25246,283.12503111111107
21220,283.0032622222223
31007,282.97383999999994
30644,282.8827111111112
33418,282.7903644444444
26823,282.6660977777779
29988,282.66152888888877
31519,282.64495999999986
28286,282.5894666666668
26010,282.5600444444444
32199,282.49583999999993
32446,282.49127111111113
30667,282.48962666666665
28728,282.45234666666676
30956,282.4440622222222
33402,282.42292444444456
30598,282.4092799999999
30321,282.3110844444446
26893,282.2696622222223
31439,282.25516444444446
32068,282.21624
31388,282.1578222222222
32375,282.13296888888885
32645,282.09776
33119,282.02527111111095
33088,281.93456888888886
30043,281.8243733333333
32161,281.8036622222221
29730,281.7688800000001
25291,281.7378133333335
27313,281.70881777777777
30053,281.68189333333345
25953,281.62968888888884
30230,281.4370755555555
32771,281.3086666666666
31241,281.19768
31364,281.186471111111
16254,281.13719111111124
26997,281.11398222222203
30723,280.9275822222224
32373,280.8488800000001
18699,280.78053333333304
31377,280.6935466666668
27751,280.664551111111
30168,280.65419555555565
31898,280.6459111111111
28570,280.6430488888889
32118,280.6272711111113
33270,280.5966311111112
30006,280.54649777777774
31318,280.51214222222217
30881,280.4760799999999
32395,280.4201600000001
28569,280.32488888888884
32001,280.25903999999997
33525,280.22340444444455
31056,280.2047644444442
25143,280.1741244444443
33155,280.123991111111
16094,280.1037066666667
32805,280.0829955555556
32483,280.02457777777784
31603,280.00800888888887
33004,279.92144888888885
32388,279.91480888888907
32372,279.7884711111111
25657,279.7076977777777
30547,279.7014844444444
33124,279.6998399999999
30466,279.6973422222221
19342,279.6894844444444
33112,279.59585777777795
31894,279.4964444444444
31300,279.4943733333334
32584,279.4736622222224
31671,279.3808888888888
26906,279.3684622222223
30216,279.15099555555577
27740,279.0884355555555
32050,279.0635822222223
32721,279.02008888888884
33431,278.95174222222226
29808,278.800977777778
32534,278.74670222222227
31123,278.6700711111111
32812,278.5250933333332
32576,278.4944533333334
29821,278.4588177777779
32498,278.42982222222224
29910,278.40911111111126
31955,278.3987555555556
31648,278.33704888888894
32153,278.28691555555565
31371,278.1278666666668
31157,278.1150133333332
32363,278.0905866666667
30429,277.9559644444444
31579,277.9493244444445
31586,277.9431111111112
25988,277.7923466666668
32524,277.7861333333334
27854,277.78363555555563
27995,277.7629244444443
32278,277.74635555555557
33041,277.7442844444446
31067,277.7215022222221
31390,277.7198577777778
28089,277.66393777777796
32144,277.66022222222244
32312,277.65522666666675
28249,277.61794666666685
33206,277.5583111111111
32604,277.4916088888889
31972,277.41083555555565
28201,277.3880533333334
14882,277.2907111111113
28916,277.2120088888888
31510,277.1871555555556
28319,277.1519466666668
32442,277.06081777777786
33601,277.050888888889
30457,277.01568
32030,276.98875555555554
32662,276.91998222222213
25823,276.9179111111112
29742,276.89141333333333
30086,276.67352000000005
32459,276.66566222222235
32565,276.6304533333334
31595,276.5807466666668
33135,276.57660444444446
27615,276.4689066666667
32745,276.4063466666667
28090,276.3794222222222
31665,276.27836444444455
26480,276.21830222222223
32525,276.2120888888889
27584,276.08532444444444
28196,276.0733244444444
30028,276.0459733333333
27170,276.0360444444445
24973,275.94241777777785
33136,275.92792000000003
26129,275.9009955555557
31296,275.8823555555556
31222,275.86785777777754
29746,275.79372444444436
31354,275.60482666666684
30136,275.58204444444436
30857,275.5054133333333
31205,275.4896977777778
27770,275.4619200000001
28075,275.3923555555557
31086,275.3728622222223
27641,275.329368888889
25893,275.32565333333326
18522,275.2287377777777
32257,275.15953777777787
30548,275.15539555555563
32237,275.093688888889
30609,275.08497777777785
25403,275.0356977777777
33153,275.0104177777777
30916,274.96071111111115
33379,274.9544977777778
30840,274.9507822222223
30035,274.8803644444446
31658,274.8472266666667
31037,274.8447288888889
32661,274.8240177777778
33400,274.75152888888886
29921,274.72253333333333
29373,274.67946666666677
29162,274.62561777777773
32641,274.5609866666667
32552,274.43879111111113
31967,274.4065066666666
31423,274.3890844444443
25831,274.3812266666665
28223,274.3439466666668
32490,274.31452444444454
30451,274.2793155555554
25922,274.25695999999994
30399,274.2486755555555
30069,274.24617777777775
30483,274.2445333333334
31495,274.2213244444444
31096,274.19482666666664
33049,274.1803288888887
31889,273.96450666666675
32910,273.9624355555556
32154,273.9421511111111
32272,273.80338666666665
30030,273.79510222222217
32176,273.78888888888895
32775,273.7656799999999
28383,273.76360888888894
30648,273.6729066666666
31554,273.67040888888897
27768,273.6563377777777
31232,273.6455555555554
31161,273.61863111111114
33301,273.558568888889
25620,273.4264444444445
27533,273.4202311111112
32920,273.37259555555573
21146,273.3332444444444
27728,273.3017511111111
31453,273.23383111111104
27075,273.1974044444446
29391,273.17376888888896
30641,273.17127111111114
29930,273.08264
33419,273.05571555555565
33009,273.0557155555556
16838,272.93601777777786
32040,272.9169511111112
30941,272.85439111111106
25827,272.7305511111111
32323,272.6721333333333
32643,272.66799111111106
26593,272.5043733333333
27203,272.50230222222217
32204,272.47123555555555
32572,272.42695111111124
30396,272.30968888888873
31531,272.2454844444445
24974,272.2454844444444
33449,272.20406222222215
32103,272.1920622222221
31904,272.14400000000006
24918,272.0702933333333
33093,271.9099644444444
28630,271.8768266666668
32250,271.8726844444444
29402,271.8602577777776
27505,271.8192622222222
31625,271.81055111111124
30947,271.66764444444453
32393,271.64321777777775
32416,271.57901333333336
31065,271.57651555555566
28370,271.51023999999984
27890,271.4692444444444
32585,271.4563911111112
31301,271.45639111111103
30527,271.3652622222221
32437,271.2782755555555
33213,271.1581511111111
26612,271.1440800000001
26841,271.0305955555556
30004,270.9862488888888
28354,270.88476444444433
33463,270.7853511111111
30014,270.71079111111106
30265,270.6714399999999
32132,270.5740977777777
31960,270.56002666666666
32788,270.54303111111096
27150,270.53310222222206
30578,270.5057511111112
19202,270.4941777777778
32271,270.4249777777776
26638,270.3669866666668
26788,270.3342755555556
29707,270.2551466666665
31450,270.04681777777785
33519,269.9776177777777
32751,269.9361955555555
30319,269.91548444444436
30879,269.90098666666677
31966,269.8931288888889
31627,269.8719911111112
31163,269.86163555555544
31282,269.8164977777779
28758,269.79950222222226
33262,269.76222222222225
30697,269.716657777778
32624,269.6959466666666
32480,269.64459555555567
32429,269.5762488888889
29974,269.5675377777776
33442,269.4909066666669
33174,269.39356444444434
31853,269.3604266666667
29896,269.34178666666674
29832,269.2241600000001
27900,269.1889511111111
31437,269.1118933333333
32230,269.0994666666667
21620,269.0771111111111
31463,268.95034666666663
32361,268.9358488888889
30423,268.87785777777765
32424,268.8612888888889
30986,268.85136000000006
26902,268.8219377777779
31403,268.7763733333334
31555,268.7763733333333
32233,268.74737777777796
32682,268.69188444444444
25549,268.56097777777785
30996,268.4822755555557
30702,268.4429244444445
30898,268.38328888888884
28296,268.35057777777786
29726,268.25031111111105
33666,268.24409777777777
28919,268.2196711111111
33083,268.20888888888896
29190,268.1890311111112
30325,268.1653955555556
32882,268.1384711111112
25738,268.12604444444435
27966,268.0804799999999
25424,267.98520888888896
28409,267.9612088888889
27916,267.88579555555566
30689,267.8841511111113
33276,267.74703111111114
32049,267.71596444444447
33090,267.70560888888895
27913,267.6770400000001
30976,267.64968888888893
30000,267.6174044444445
31994,267.5979111111111
30919,267.59376888888903
29727,267.5772
32884,267.51135111111114
33321,267.4736444444446
30075,267.4637155555555
26104,267.4450755555557
32996,267.35352000000006
25232,267.3058844444444
26921,267.2876711111112
30375,267.19654222222226
20313,267.17168888888904
25225,267.1194844444446
31461,267.0677066666667
26319,267.03042666666676
32447,267.03042666666664
30458,266.9600088888889
30575,266.94758222222237
29171,266.8937333333334
28091,266.83824000000016
25498,266.7947466666668
31995,266.77360888888893
