,Station_ID,Station_name,Lat,Lng,Start,End,Distance,Season
68,382,University Pl & E 14 St,40.73492695,-73.99200509,7559,5733,11.572630394493066,Summer
69,382,University Pl & E 14 St,40.73492695,-73.99200509,3181,3342,9.102904477298926,Winter
70,393,E 5 St & Avenue C,40.72299208,-73.97995466,2267,1716,12.967696381288613,Summer
71,393,E 5 St & Avenue C,40.72299208,-73.97995466,1015,1089,10.423973727422002,Winter
72,519,Pershing Square North,40.751872999999996,-73.97770600000001,8297,9470,13.923336146611991,Summer
73,519,Pershing Square North,40.751872999999996,-73.97770600000001,8080,8026,11.905523927392709,Winter
74,3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,0,295,NaN,Summer
75,3339,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,443,453,11.006207674943566,Winter
76,3447,E 71 St & 1 Ave,40.76703432,-73.9562273,0,111,NaN,Summer
77,3447,E 71 St & 1 Ave,40.76703432,-73.9562273,595,601,12.154966329966337,Winter
78,498,Broadway & W 32 St,40.74854862,-73.98808416,6986,4117,12.742041332569743,Summer
79,498,Broadway & W 32 St,40.74854862,-73.98808416,2699,2694,10.845763863159213,Winter
80,3163,Central Park West & W 68 St,40.7734066,-73.97782542,0,1761,NaN,Summer
81,3163,Central Park West & W 68 St,40.7734066,-73.97782542,1627,1576,13.200430504305041,Winter
82,3314,W 95 St & Broadway,40.7937704,-73.971888,0,506,NaN,Summer
83,3314,W 95 St & Broadway,40.7937704,-73.971888,953,929,11.00365512416928,Winter
84,3289,W 90 St & Amsterdam Ave,40.79017948,-73.97288918,0,326,NaN,Summer
85,3289,W 90 St & Amsterdam Ave,40.79017948,-73.97288918,654,560,12.466106014271146,Winter
86,285,Broadway & E 14 St,40.73454567,-73.99074142,10330,7820,11.780576004132744,Summer
87,285,Broadway & E 14 St,40.73454567,-73.99074142,4223,4296,9.266737790422019,Winter
88,238,Bank St & Washington St,40.7361967,-74.00859207,3212,2412,15.743313591022467,Summer
89,238,Bank St & Washington St,40.7361967,-74.00859207,1148,1168,11.821465968586393,Winter
90,358,Christopher St & Greenwich St,40.73291553,-74.00711384,9346,6809,14.197632555484159,Summer
91,358,Christopher St & Greenwich St,40.73291553,-74.00711384,3068,3160,11.079335071707945,Winter
92,257,Lispenard St & Broadway,40.71939226,-74.00247214,3915,2998,13.409291922290413,Summer
93,257,Lispenard St & Broadway,40.71939226,-74.00247214,1549,1576,10.411996987303638,Winter
94,3595,35 St & Broadway,40.760339,-73.9222427,0,37,NaN,Summer
95,3595,35 St & Broadway,40.760339,-73.9222427,140,138,8.466666666666667,Winter
96,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,0,5996,NaN,Summer
97,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,3351,3484,8.933104477611932,Winter
