,Station_ID,Station_name,Lat,Lng,Summer_Pop_Start,Summer_Pop_End,Summer_Dist,Winter_Pop_Start,Winter_Pop_End,Winter Dist
49,3160,Central Park West & W 76 St,40.77896784,-73.97374737,0,930,NaN,920,887,17.580334423845876
50,376,John St & William St,40.70862144,-74.00722156,2521,1941,15.645929308975397,1195,1203,11.470543933054394
51,449,W 52 St & 9 Ave,40.76461837,-73.98789473,0,0,NaN,1136,1122,10.042341549295777
52,339,Avenue D & E 12 St,40.72580614,-73.97422494,1705,984,16.109806224310017,523,394,12.995761631612504
53,491,E 24 St & Park Ave S,40.74096374,-73.98602213,6196,4470,11.90356854513159,2750,2762,9.789884848484837
54,284,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,0,0,NaN,3561,3661,9.707554057848906
55,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,0,3154,NaN,2305,2299,11.642990451388876
56,296,Division St & Bowery,40.71413089,-73.99704679999999,3447,2741,14.010651374370887,1494,1596,12.19219691895512
57,128,MacDougal St & Prince St,40.72710258,-74.00297088,6752,5159,14.296819281868986,2208,2281,11.41720283945025
58,524,W 43 St & 6 Ave,40.75527307,-73.98316936,0,3001,NaN,1822,1799,11.498893157702168
59,3047,Halsey St & Tompkins Ave,40.682368700000005,-73.944118,0,343,NaN,321,327,13.76020833333333
60,364,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,1713,921,13.65209429183713,587,531,10.211319681456185
61,3249,Verona Pl & Fulton St,40.68035608,-73.9476791,0,240,NaN,285,286,11.320363849765263
62,3081,Graham Ave & Grand St,40.711863,-73.944024,0,357,NaN,335,334,12.517661691542287
63,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,0,4314,NaN,2941,2937,10.188905895691606
64,3360,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,0,832,NaN,1368,1284,11.620909534259948
65,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,0,212,NaN,861,860,8.961298449612404
66,3431,E 35 St & 3 Ave,40.746524,-73.977885,0,2024,NaN,1309,1318,10.716093710211345
67,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,0,3194,NaN,2202,2214,10.942529518619429
68,326,E 11 St & 1 Ave,40.72953837,-73.98426726,5000,3856,12.745372407814871,2033,2052,10.266797900262459
69,3430,Richardson St & N Henry St,40.71907891,-73.94223690000001,0,98,NaN,496,500,7.230779569892472
70,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,0,538,NaN,1206,1200,8.761410788381749
71,3124,46 Ave & 5 St,40.74731,-73.95451,0,81,NaN,496,501,7.752356902356898
72,477,W 41 St & 8 Ave,40.75640548,-73.9900262,10108,6479,14.38576144729452,4256,4267,10.978348214285731
73,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,5699,4327,13.125231237559966,2228,2293,10.162133453022147
74,504,1 Ave & E 16 St,40.73221853,-73.98165557,6790,5042,10.865357984678857,3147,3200,9.313000635727896
75,502,Henry St & Grand St,40.714215,-73.981346,3302,2628,12.688841765121682,1803,1842,10.258901830282833
76,3259,9 Ave & W 28 St,40.74937024,-73.99923384,0,0,NaN,1525,1536,10.934939890710394
77,497,E 17 St & Broadway,40.73704984,-73.99009296,11860,8778,12.508575123706676,4503,4924,10.160921072116102
